account_id,name,address,latest_update_datetime,queue,status
49999,James Miller,"47 Riverside Drive, Limerick",2025-01-01T00:27:27.000000,INSOLVENCY,INS4
19372,Michael Johnson,"33 Maple Avenue, Belfast",2025-01-01T00:40:17.000000,LEGAL,LEG_NOT
52137,David Brown,"158 Cedar Lane, Sligo",2025-01-01T01:31:02.000000,TRACE,GONEAWAY
83620,David Wilson,"122 Pine Road, Waterford",2025-01-01T02:28:39.000000,TRACE,GONEAWAY
49171,John Martinez,"172 Hillcrest Road, Dublin",2025-01-01T03:48:21.000000,OTHER,ARCHIVED
10474,John Rodriguez,"95 Elm Street, Cork",2025-01-01T08:37:12.000000,COLLECTIONS,TELSOLUTIONS1
60663,Maria Smith,"86 Hillcrest Road, Cork",2025-01-01T12:06:27.000000,SETTLED,SETTLED
46545,David Davis,"101 Sunset Boulevard, Waterford",2025-01-01T12:16:26.000000,INSOLVENCY,INS2
95324,Emma Brown,"136 Cedar Lane, Sligo",2025-01-01T14:17:41.000000,PAYING,PAY CURR
48786,Sophia Martinez,"56 Hillcrest Road, Dublin",2025-01-01T14:38:07.000000,COLLECTIONS,TELSOLUTIONS1
94638,David Wilson,"139 Cedar Lane, Cork",2025-01-01T16:10:01.000000,TRACE,GONEAWAY
43314,Michael Miller,"13 Elm Street, Belfast",2025-01-01T17:34:47.000000,INSOLVENCY,INS1
31658,Alex Wilson,"73 Riverside Drive, Cork",2025-01-01T17:54:45.000000,COLLECTIONS,CANCEL2
98298,Sarah Williams,"118 Elm Street, Cork",2025-01-01T18:21:02.000000,PAYING,PAY PROP
86556,Michael Brown,"113 Elm Street, Kilkenny",2025-01-01T19:14:56.000000,LEGAL,LEG_TIT
15248,Maria Martinez,"86 Elm Street, Belfast",2025-01-01T20:42:30.000000,OTHER,ARCHIVED
90725,David Williams,"35 Oak Street, Cork",2025-01-01T21:41:14.000000,TRACE,GONEAWAY
14117,Sophia Jones,"44 Cedar Lane, Dublin",2025-01-02T00:58:26.000000,COLLECTIONS,PRIME
47808,James Garcia,"200 Elm Street, Belfast",2025-01-02T03:25:41.000000,PAYING,PAY PROP
50973,Emma Miller,"128 Maple Avenue, Galway",2025-01-02T03:59:10.000000,OTHER,ARCHIVED
10506,David Jones,"106 Pine Road, Waterford",2025-01-02T06:19:14.000000,OTHER,ARCHIVED
83652,Maria Brown,"121 Elm Street, Limerick",2025-01-02T12:40:52.000000,COLLECTIONS,PRIME
31903,Alex Brown,"183 Cedar Lane, Waterford",2025-01-02T18:09:01.000000,TRACE,GONEAWAY
63099,Alex Martinez,"170 Elm Street, Kilkenny",2025-01-03T09:47:05.000000,INSOLVENCY,INSP
28442,Emma Rodriguez,"145 Elm Street, Dublin",2025-01-03T12:07:00.000000,COLLECTIONS,CASSIST2
21707,Michael Rodriguez,"81 Pine Road, Dublin",2025-01-04T01:26:02.000000,INSOLVENCY,INS4
82095,Sophia Johnson,"114 Riverside Drive, Galway",2025-01-04T22:50:27.000000,OTHER,ARCHIVED
38899,Laura Smith,"119 Sunset Boulevard, Waterford",2025-01-05T19:51:25.000000,COLLECTIONS,PRIME
74894,Emma Garcia,"190 Sunset Boulevard, Belfast",2025-01-05T21:12:23.000000,OTHER,ARCHIVED
53016,Laura Johnson,"197 Oak Street, Belfast",2025-01-06T02:20:58.000000,TRACE,GONEAWAY
91099,John Brown,"171 Elm Street, Belfast",2025-01-06T06:54:42.000000,COLLECTIONS,CANCEL4
84455,Daniel Smith,"118 Maple Avenue, Galway",2025-01-06T08:41:19.000000,COLLECTIONS,TELSOLUTIONS1
16628,Sarah Rodriguez,"164 Pine Road, Galway",2025-01-06T13:31:50.000000,SETTLED,SETTLED
73556,Emma Rodriguez,"154 Oak Street, Belfast",2025-01-06T15:24:18.000000,COLLECTIONS,TELSOLUTIONS1
53131,Emma Garcia,"41 Elm Street, Sligo",2025-01-06T15:39:57.000000,TRACE,GONEAWAY
23982,James Jones,"81 Pine Road, Kilkenny",2025-01-06T15:56:04.000000,LEGAL,HOLD FO
48880,Alex Martinez,"85 Pine Road, Kilkenny",2025-01-06T16:46:03.000000,TRACE,GONEAWAY
82007,Sarah Williams,"99 Oak Street, Cork",2025-01-06T17:13:30.000000,LEGAL,LEG VERIF 1
53017,Daniel Smith,"120 Hillcrest Road, Belfast",2025-01-06T17:28:45.000000,TRACE,GONEAWAY
19986,Alex Smith,"130 Oak Street, Galway",2025-01-06T17:50:55.000000,OTHER,ARCHIVED
88706,Laura Williams,"49 Elm Street, Kilkenny",2025-01-06T20:26:35.000000,TRACE,GONEAWAY
35504,Daniel Garcia,"53 Cedar Lane, Kilkenny",2025-01-06T22:21:04.000000,PAYING,PAY CURR
76500,John Garcia,"176 Sunset Boulevard, Cork",2025-01-07T19:15:44.000000,COLLECTIONS,CASSIST2
68484,Michael Wilson,"53 Elm Street, Kilkenny",2025-01-08T02:33:20.000000,TRACE,GONEAWAY
45539,James Johnson,"88 Maple Avenue, Sligo",2025-01-08T04:56:40.000000,LEGAL,LEG VERIF 2
14006,James Johnson,"124 Maple Avenue, Galway",2025-01-08T05:55:47.000000,OTHER,ARCHIVED
19099,Michael Smith,"93 Pine Road, Waterford",2025-01-08T06:36:06.000000,LEGAL,LEG VERIF 1
26168,Maria Williams,"120 Cedar Lane, Belfast",2025-01-08T07:41:19.000000,LEGAL,HOLD FO
33783,Emma Garcia,"158 Cedar Lane, Belfast",2025-01-08T10:23:35.000000,LEGAL,LEG_TIT
25733,David Brown,"63 Sunset Boulevard, Kilkenny",2025-01-08T13:26:21.000000,COLLECTIONS,PAY OVER
25726,Olivia Davis,"144 Riverside Drive, Galway",2025-01-08T17:27:11.000000,INSOLVENCY,INS2
31172,Olivia Smith,"102 Sunset Boulevard, Dublin",2025-01-09T00:47:09.000000,LEGAL,LEG VERIF 2
35401,John Miller,"164 Sunset Boulevard, Belfast",2025-01-09T01:12:36.000000,TRACE,GONEAWAY
26696,Sarah Rodriguez,"73 Maple Avenue, Kilkenny",2025-01-09T04:55:08.000000,OTHER,ARCHIVED
20307,James Williams,"149 Riverside Drive, Limerick",2025-01-09T05:43:51.000000,SETTLED,SETTLED
94706,Alex Davis,"55 Elm Street, Galway",2025-01-09T08:59:21.000000,TRACE,GONEAWAY
28382,Daniel Miller,"64 Maple Avenue, Kilkenny",2025-01-09T15:22:38.000000,LEGAL,LEG_NOT
86015,Sarah Miller,"151 Sunset Boulevard, Kilkenny",2025-01-11T01:38:56.000000,INSOLVENCY,INS2
91402,Alex Rodriguez,"161 Hillcrest Road, Dublin",2025-01-11T07:31:25.000000,COLLECTIONS,CANCEL2
52137,David Brown,"158 Cedar Lane, Sligo",2025-01-11T08:56:14.000000,SETTLED,SETTLED
63099,Alex Martinez,"170 Elm Street, Kilkenny",2025-01-11T15:59:23.000000,LEGAL,LEG_NOT
46155,Sophia Smith,"130 Cedar Lane, Galway",2025-01-11T22:39:42.000000,LEGAL,HOLD FO
39776,Maria Davis,"113 Maple Avenue, Kilkenny",2025-01-12T00:13:32.000000,COLLECTIONS,CASSIST2
59399,Michael Jones,"5 Hillcrest Road, Kilkenny",2025-01-12T01:10:11.000000,PAYING,PAY PROP
55200,Maria Johnson,"134 Elm Street, Galway",2025-01-12T04:19:04.000000,OTHER,ARCHIVED
31933,David Williams,"15 Elm Street, Cork",2025-01-12T06:10:57.000000,COLLECTIONS,PRIME
27620,Daniel Wilson,"79 Sunset Boulevard, Sligo",2025-01-12T06:37:06.000000,COLLECTIONS,CANCEL4
45548,Maria Wilson,"163 Maple Avenue, Dublin",2025-01-12T07:59:06.000000,INSOLVENCY,INS4
48786,Sophia Martinez,"56 Hillcrest Road, Dublin",2025-01-12T08:52:54.000000,SETTLED,SETTLED
27497,John Garcia,"165 Maple Avenue, Limerick",2025-01-12T09:00:45.000000,INSOLVENCY,INS4
86646,Sarah Williams,"29 Hillcrest Road, Galway",2025-01-12T13:59:18.000000,COLLECTIONS,CANCEL4
22047,James Jones,"37 Sunset Boulevard, Belfast",2025-01-12T14:42:56.000000,OTHER,ARCHIVED
21399,David Williams,"41 Pine Road, Sligo",2025-01-12T16:37:01.000000,SETTLED,SETTLED
95599,Michael Wilson,"70 Maple Avenue, Sligo",2025-01-12T16:37:30.000000,OTHER,ARCHIVED
68126,Olivia Davis,"162 Maple Avenue, Limerick",2025-01-12T18:54:48.000000,INSOLVENCY,INS1
37781,David Wilson,"105 Riverside Drive, Belfast",2025-01-12T21:03:55.000000,COLLECTIONS,PAY OVER
97918,Daniel Smith,"123 Riverside Drive, Sligo",2025-01-13T01:25:17.000000,COLLECTIONS,TELSOLUTIONS4
74670,Laura Rodriguez,"189 Maple Avenue, Galway",2025-01-13T01:47:02.000000,COLLECTIONS,PAY OVER
14961,John Davis,"179 Riverside Drive, Dublin",2025-01-13T02:33:09.000000,LEGAL,LEG VERIF 2
26514,Sophia Smith,"135 Sunset Boulevard, Limerick",2025-01-13T02:47:14.000000,TRACE,GONEAWAY
11352,Alex Johnson,"38 Hillcrest Road, Sligo",2025-01-13T07:05:11.000000,OTHER,ARCHIVED
15248,Maria Martinez,"86 Elm Street, Belfast",2025-01-13T09:14:18.000000,LEGAL,LEG VERIF 1
59505,Daniel Wilson,"113 Pine Road, Limerick",2025-01-13T09:36:43.000000,INSOLVENCY,INS1
23382,David Garcia,"142 Hillcrest Road, Galway",2025-01-13T10:35:55.000000,LEGAL,LEG VERIF 1
55992,John Miller,"18 Sunset Boulevard, Galway",2025-01-13T12:14:16.000000,OTHER,ARCHIVED
44060,Sarah Davis,"151 Cedar Lane, Kilkenny",2025-01-13T12:27:58.000000,OTHER,ARCHIVED
63848,Emma Williams,"57 Oak Street, Limerick",2025-01-13T12:40:56.000000,INSOLVENCY,INSP
43314,Michael Miller,"13 Elm Street, Belfast",2025-01-13T12:55:42.000000,LEGAL,LEG_TIT
29623,James Smith,"134 Riverside Drive, Waterford",2025-01-13T13:42:04.000000,COLLECTIONS,PAY OVER
19413,Sophia Jones,"52 Sunset Boulevard, Limerick",2025-01-13T15:42:55.000000,COLLECTIONS,CASSIST2
26168,Maria Williams,"120 Cedar Lane, Belfast",2025-01-13T17:31:34.000000,LEGAL,LEG_NOT
62345,Laura Miller,"189 Cedar Lane, Cork",2025-01-13T17:54:09.000000,COLLECTIONS,CASSIST2
85441,John Garcia,"125 Hillcrest Road, Sligo",2025-01-13T20:12:54.000000,OTHER,ARCHIVED
95232,John Rodriguez,"124 Sunset Boulevard, Limerick",2025-01-13T21:51:47.000000,OTHER,ARCHIVED
38621,John Wilson,"37 Maple Avenue, Dublin",2025-01-13T22:39:23.000000,COLLECTIONS,TELSOLUTIONS1
59940,James Smith,"74 Elm Street, Kilkenny",2025-01-13T23:48:15.000000,COLLECTIONS,PRIME
46545,David Davis,"101 Sunset Boulevard, Waterford",2025-01-14T05:26:37.000000,OTHER,ARCHIVED
88706,Laura Williams,"49 Elm Street, Kilkenny",2025-01-14T05:34:54.000000,COLLECTIONS,PRIME
92669,John Davis,"72 Pine Road, Kilkenny",2025-01-14T14:47:07.000000,LEGAL,LEG VERIF 1
13416,Emma Wilson,"58 Pine Road, Dublin",2025-01-14T15:13:13.000000,LEGAL,LEG_NOT
26686,James Johnson,"43 Riverside Drive, Waterford",2025-01-14T16:27:06.000000,INSOLVENCY,INS3
91658,Olivia Davis,"106 Cedar Lane, Sligo",2025-01-14T22:23:01.000000,COLLECTIONS,TELSOLUTIONS4
31658,Alex Wilson,"73 Riverside Drive, Cork",2025-01-15T04:03:57.000000,LEGAL,HOLD FO
32283,James Johnson,"41 Pine Road, Cork",2025-01-15T04:07:26.000000,TRACE,GONEAWAY
88716,Emma Rodriguez,"113 Cedar Lane, Galway",2025-01-15T09:27:05.000000,TRACE,GONEAWAY
77145,Michael Williams,"7 Cedar Lane, Cork",2025-01-15T21:30:25.000000,PAYING,PAY PROP
84845,Sarah Rodriguez,"89 Riverside Drive, Waterford",2025-01-15T23:05:03.000000,PAYING,PAY CURR
47984,Sarah Brown,"111 Riverside Drive, Kilkenny",2025-01-15T23:35:21.000000,PAYING,PAY PROP
57417,Daniel Smith,"175 Hillcrest Road, Limerick",2025-01-16T05:24:34.000000,OTHER,ARCHIVED
82269,Maria Martinez,"175 Oak Street, Galway",2025-01-16T12:01:27.000000,INSOLVENCY,INS4
15757,Sophia Williams,"79 Sunset Boulevard, Dublin",2025-01-16T16:26:27.000000,INSOLVENCY,INSP
60048,Sophia Williams,"132 Hillcrest Road, Waterford",2025-01-17T00:11:35.000000,COLLECTIONS,TELSOLUTIONS4
86556,Michael Brown,"113 Elm Street, Kilkenny",2025-01-17T06:37:51.000000,SETTLED,SETTLED
78078,John Miller,"48 Riverside Drive, Limerick",2025-01-17T08:39:49.000000,SETTLED,SETTLED
11916,John Miller,"42 Cedar Lane, Kilkenny",2025-01-17T09:33:42.000000,LEGAL,LEG_TIT
18486,Olivia Rodriguez,"20 Oak Street, Dublin",2025-01-17T11:55:53.000000,PAYING,PAY CURR
77521,Michael Martinez,"104 Sunset Boulevard, Galway",2025-01-17T13:52:10.000000,PAYING,PAY CURR
88654,Michael Rodriguez,"128 Oak Street, Kilkenny",2025-01-17T14:20:54.000000,OTHER,ARCHIVED
91099,John Brown,"171 Elm Street, Belfast",2025-01-17T15:13:09.000000,LEGAL,HOLD FO
41740,John Johnson,"78 Cedar Lane, Dublin",2025-01-17T18:19:28.000000,OTHER,ARCHIVED
50973,Emma Miller,"128 Maple Avenue, Galway",2025-01-17T18:55:52.000000,OTHER,ARCHIVED
65773,James Miller,"140 Riverside Drive, Kilkenny",2025-01-17T19:21:02.000000,INSOLVENCY,INSP
93809,Sophia Brown,"68 Riverside Drive, Dublin",2025-01-17T19:28:23.000000,INSOLVENCY,INS2
20233,Michael Davis,"60 Riverside Drive, Belfast",2025-01-17T20:53:04.000000,COLLECTIONS,CANCEL2
