account_id,name,address,latest_update_datetime,queue,status
10180,Olivia Davis,"3 Elm Street, Limerick",2025-02-18T07:51:39.000000,COLLECTIONS,TELSOLUTIONS1
10474,John Rodriguez,"95 Elm Street, Cork",2025-01-01T08:37:12.000000,COLLECTIONS,TELSOLUTIONS1
10506,David Jones,"106 Pine Road, Waterford",2025-09-01T10:40:46.000000,LEGAL,LEG VERIF 2
10585,Michael Davis,"71 Riverside Drive, Belfast",2025-09-26T16:08:37.000000,COLLECTIONS,PAY OVER
10869,John Williams,"5 Hillcrest Road, Dublin",2025-11-09T13:39:45.000000,COLLECTIONS,CANCEL4
11336,Emma Smith,"64 Pine Road, Sligo",2025-11-19T18:37:00.000000,LEGAL,HOLD FO
11352,Alex Johnson,"38 Hillcrest Road, Sligo",2025-11-09T01:06:17.000000,LEGAL,LEG_TIT
11356,Maria Williams,"147 Oak Street, Galway",2025-11-11T05:34:49.000000,LEGAL,LEG VERIF 2
11449,Daniel Miller,"6 Hillcrest Road, Waterford",2025-08-16T01:20:26.000000,COLLECTIONS,CASSIST2
11916,John Miller,"42 Cedar Lane, Kilkenny",2025-10-04T03:40:59.000000,COLLECTIONS,PAY OVER
12247,Laura Smith,"200 Pine Road, Dublin",2025-08-09T02:48:48.000000,COLLECTIONS,PAY OVER
13206,Michael Brown,"71 Hillcrest Road, Sligo",2025-03-19T23:56:32.000000,LEGAL,LEG_TIT
13356,James Jones,"85 Cedar Lane, Cork",2025-06-09T15:01:11.000000,LEGAL,LEG VERIF 1
13416,Emma Wilson,"58 Pine Road, Dublin",2025-09-03T12:50:09.000000,COLLECTIONS,PRIME
13484,Maria Davis,"129 Cedar Lane, Galway",2025-09-14T09:54:05.000000,LEGAL,LEG VERIF 2
13664,Emma Wilson,"1 Cedar Lane, Galway",2025-11-07T15:43:36.000000,LEGAL,LEG VERIF 1
13787,Laura Wilson,"88 Elm Street, Cork",2025-07-19T22:46:47.000000,COLLECTIONS,PRIME_D
13883,David Smith,"74 Sunset Boulevard, Cork",2025-09-24T12:09:08.000000,COLLECTIONS,PAY OVER
13989,Sophia Rodriguez,"95 Cedar Lane, Dublin",2025-04-08T14:18:06.000000,COLLECTIONS,PAY OVER
14117,Sophia Jones,"44 Cedar Lane, Dublin",2025-08-21T12:05:58.000000,COLLECTIONS,PRIME_D
14567,Sophia Davis,"52 Elm Street, Belfast",2025-09-07T08:44:58.000000,COLLECTIONS,CASSIST2
